cd_hydro,nm_hydro,hydro_type,cd_gnis
AN,Animas River,River,900284
AS,Ashley Creek,River,1438282
BE,Bear River,River,
BL,Blue River,River,
BR,Brush Creek,River,1426028
BS,Big Sandy River,River,
BU,Buttermilk Creek,River,
CC,Chinle Creek,River,
CH,Chaco River,River,936834
CI,Cimarron River,River,
CO,Colorado River,River,45730
COA,Coal Creek,River,
CR,Crystal River,River,
CT,Cottonwood Creek,River,
CU,Currant Creek1750,River,1440200
DC,Douglas Creek,River,
DD,Dirty Devil River,River,1427408
DIS,Disappointment Creek,River,176313
DO,Dolores River,River,1440517
DU,Duchesne River,River,1440701
DV,Divide Creek,River,
EA,Eagle River,River,
EAS,East Creek,River,
EC,Escalante Creek,River,
EF,East Fork River,River,
EL,Elk River,River,
ER,East River,River,
ES,Escalante River,River,
FE,Ferron Creek,River,
FL,Florida River,River,
FM,Fremont River,River,1441237
FP,Fryingpan River,River,174854
FR,Fraser River,River,
GR,Green River,River,1428399
GRC,Green River Canal,River,
GU,Gunnison River,River,201748
GVIC,Grand Valley Irrigation Canal,River,
GVWU,Grand Valley Water Users Canal,River,
HB,Hogback Canal,River,
HU,Huntington Creek,River,
HUN,Hunter Creek,River,
LA,La Plata River,River,897392
LC,Little Colorado River,River,
LF,Lake Fork River,River,
LS,Little Snake River,River,201744
MA,Mancos River,River,902295
MAC,Mack Wash,River,
MB,Maybell Canal,River,
MC,McElmo Creek,River,201753
MK,Milk Creek,River,171329
MON,Monitor Creek,River,
MZ,Montezuma Creek,River,
NA,Navajo River,River,
NF,New Fork River,River,
NFGU,North Fork Gunnison River,River,186323
OT,Unknown,River,
OTCO,Unknown CO,River,
OTGR,Unknown GR,River,
OTSJ,Unknown SJ,River,
PA,Paria River,River,
PC,Piceance River,River,
PD,Piedra River,River,184069
PG,Persigo Wash,River,
PH,Parachute Creek,River,174231
PI,Los Pinos River,River,
PL,Plateau Creek,River,176532
PN,Piney River,River,
PO,Potter Creek,River,
PR,Price River,River,1444642
PW,Pariette Wash,River,
RC,Rifle Creek,River,173898
RD,Red Creek4173,River,1444791
RDC,Redlands Canal,River,
RF,Roaring Fork River,River,174812
RN,Roan Creek,River,174229
RO,Roubideau Creek,River,185508
SA,Salt Creek,River,
SA2,Salt Creek into CR145.9,River,174370
SJ,San Juan River,River,1454998
SM,San Miguel River,River,169587
SN,Snake River,River,
SR,San Rafael River,River,1432176
ST,Strawberry River,River,1446192
SW,Swan River,River,
TA,Taylor River,River,
TAB,Tabeguache Creek,River,
UI,Uinta River,River,1446833
UN,Uncompahgre River,River,185397
VC,Vermillion Creek,River,169778
WF,Williams Fork River,River,173243
WH,White River,River,204653
WR,Whiterocks River,River,
YA,Yampa River,River,169566
YJ,Yellowjacket Creek,River,
YS,Yellowstone River,River,
